FlightDate,Airline,AirlineCode,FlightNumber,Origin,OriginCity,Dest,DestCity,DayOfWeek,CRSDepTime,DepTime,DepDelay,CRSArrTime,ArrTime,ArrDelay,Cancelled,Distance_KM,AirTime_Min
2025-02-14,Air India,AI,AI636,DEL,Delhi,HYD,Hyderabad,Friday,11:40,13:40,120,13:33,15:33,120,0,1260,93
2025-02-14,AirAsia India,I5,I5339,DEL,Delhi,AMD,Ahmedabad,Friday,19:30,19:35,5,20:48,20:58,10,0,780,58
2025-02-18,IndiGo,6E,6E530,BOM,Mumbai,BLR,Bengaluru,Tuesday,07:20,07:20,0,08:42,08:57,15,0,840,62
2025-02-18,SpiceJet,SG,SG615,BOM,Mumbai,AMD,Ahmedabad,Tuesday,11:40,11:48,8,12:33,12:31,-2,0,440,33
2025-02-18,IndiGo,6E,6E193,BOM,Mumbai,AMD,Ahmedabad,Tuesday,17:00,17:22,22,17:53,18:25,32,0,440,33
2025-02-18,Air India,AI,AI588,BOM,Mumbai,GOI,Goa,Tuesday,18:20,18:45,25,19:12,19:32,20,0,430,32
2025-02-18,SpiceJet,SG,SG490,DEL,Delhi,BOM,Mumbai,Tuesday,07:50,09:50,120,09:35,11:30,115,0,1150,85
2025-02-18,IndiGo,6E,6E867,DEL,Delhi,BLR,Bengaluru,Tuesday,11:00,12:10,70,13:29,14:39,70,0,1740,129
2025-02-22,AirAsia India,I5,I5300,BLR,Bengaluru,JAI,Jaipur,Saturday,15:15,15:15,0,17:48,17:48,0,0,1801,133
2025-02-23,IndiGo,6E,6E743,BOM,Mumbai,AMD,Ahmedabad,Sunday,13:40,14:20,40,14:33,15:03,30,0,440,33
2025-02-25,Go First,G8,G8848,DEL,Delhi,MAA,Chennai,Tuesday,17:50,18:00,10,20:20,20:35,15,0,1760,130
2025-03-02,AirAsia India,I5,I5624,GOI,Goa,BOM,Mumbai,Sunday,16:15,16:15,0,17:07,17:07,0,0,430,32
2025-03-06,Akasa Air,QP,QP957,HYD,Hyderabad,MAA,Chennai,Thursday,06:50,07:02,12,07:49,08:01,12,0,520,39
2025-03-07,AirAsia India,I5,I5274,AMD,Ahmedabad,DEL,Delhi,Friday,17:45,17:45,0,19:03,19:13,10,0,780,58
2025-03-07,Go First,G8,G8741,JAI,Jaipur,MAA,Chennai,Friday,11:45,11:42,-3,12:42,12:29,-13,0,503,37
2025-03-09,Vistara,UK,UK121,CCU,Kolkata,BLR,Bengaluru,Sunday,06:10,06:10,0,08:26,08:41,15,0,1560,116
2025-03-10,IndiGo,6E,6E396,DEL,Delhi,COK,Kochi,Monday,16:15,16:27,12,19:13,19:30,17,0,2130,158
2025-03-12,Air India,AI,AI938,COK,Kochi,MAA,Chennai,Wednesday,16:30,16:32,2,17:37,17:39,2,0,640,47
2025-03-15,Air India,AI,AI439,JAI,Jaipur,CCU,Kolkata,Saturday,10:00,10:55,55,12:06,12:56,50,0,1433,106
2025-03-15,SpiceJet,SG,SG360,MAA,Chennai,AMD,Ahmedabad,Saturday,18:50,19:20,30,21:06,21:41,35,0,1561,116
2025-03-19,Air India,AI,AI660,DEL,Delhi,PNQ,Pune,Wednesday,07:00,07:08,8,08:47,09:00,13,0,1180,87
2025-03-19,Air India,AI,AI736,DEL,Delhi,BLR,Bengaluru,Wednesday,08:40,08:35,-5,11:09,10:54,-15,0,1740,129
2025-03-19,AirAsia India,I5,I5910,DEL,Delhi,HYD,Hyderabad,Wednesday,21:20,21:55,35,23:13,23:48,35,0,1260,93
2025-03-21,Akasa Air,QP,QP353,GOI,Goa,BLR,Bengaluru,Friday,13:40,14:15,35,14:37,15:12,35,0,500,37
2025-03-23,AirAsia India,I5,I5479,BLR,Bengaluru,AMD,Ahmedabad,Sunday,10:20,10:50,30,11:56,12:16,20,0,1020,76
2025-03-24,Air India,AI,AI960,LKO,Lucknow,DEL,Delhi,Monday,13:50,13:58,8,14:43,14:51,8,0,440,33
2025-03-25,Air India,AI,AI507,BOM,Mumbai,JAI,Jaipur,Tuesday,11:45,11:45,0,13:09,12:59,-10,0,870,64
2025-03-25,IndiGo,6E,6E156,MAA,Chennai,PNQ,Pune,Tuesday,07:45,07:45,0,09:58,09:53,-5,0,1526,113
2025-04-03,IndiGo,6E,6E241,HYD,Hyderabad,MAA,Chennai,Thursday,08:20,08:20,0,09:19,09:09,-10,0,520,39
2025-04-03,SpiceJet,SG,SG752,JAI,Jaipur,BOM,Mumbai,Thursday,14:00,14:15,15,15:24,15:49,25,0,870,64
2025-04-04,Air India,AI,AI271,HYD,Hyderabad,GOI,Goa,Friday,07:30,07:45,15,08:15,08:20,5,0,339,25
2025-04-06,IndiGo,6E,6E328,AMD,Ahmedabad,GOI,Goa,Sunday,17:45,17:40,-5,19:57,19:47,-10,0,1518,112
2025-04-08,IndiGo,6E,6E168,PNQ,Pune,DEL,Delhi,Tuesday,09:50,10:25,35,11:37,12:02,25,0,1180,87
2025-04-15,Vistara,UK,UK836,JAI,Jaipur,PNQ,Pune,Tuesday,07:00,07:05,5,08:51,09:01,10,0,1223,91
2025-04-16,Go First,G8,G8240,MAA,Chennai,BLR,Bengaluru,Wednesday,20:20,20:20,0,21:01,20:51,-10,0,290,21
2025-04-19,Go First,G8,G8268,PNQ,Pune,AMD,Ahmedabad,Saturday,08:10,08:10,0,10:03,10:13,10,0,1260,93
2025-04-20,Akasa Air,QP,QP367,AMD,Ahmedabad,GOI,Goa,Sunday,11:45,12:40,55,14:24,15:24,60,0,1871,139
2025-04-20,Vistara,UK,UK232,BOM,Mumbai,CCU,Kolkata,Sunday,06:20,06:20,0,08:43,08:33,-10,0,1660,123
2025-04-20,Vistara,UK,UK775,BOM,Mumbai,JAI,Jaipur,Sunday,08:50,09:00,10,10:14,10:14,0,0,870,64
2025-04-20,Go First,G8,G8144,BOM,Mumbai,PNQ,Pune,Sunday,11:40,11:40,0,12:11,12:21,10,0,150,11
2025-04-20,Akasa Air,QP,QP249,BOM,Mumbai,PNQ,Pune,Sunday,14:40,14:48,8,15:11,15:14,3,0,150,11
2025-04-20,IndiGo,6E,6E366,DEL,Delhi,COK,Kochi,Sunday,06:10,06:22,12,09:08,09:15,7,0,2130,158
2025-04-20,SpiceJet,SG,SG634,DEL,Delhi,COK,Kochi,Sunday,06:10,06:15,5,09:08,09:23,15,0,2130,158
2025-04-20,Go First,G8,G8126,DEL,Delhi,PNQ,Pune,Sunday,07:20,07:20,0,09:07,09:07,0,0,1180,87
2025-04-20,Vistara,UK,UK161,DEL,Delhi,COK,Kochi,Sunday,13:40,13:48,8,16:38,16:56,18,0,2130,158
2025-04-22,Go First,G8,G8187,MAA,Chennai,JAI,Jaipur,Tuesday,18:00,18:25,25,20:35,20:55,20,0,1823,135
2025-04-24,AirAsia India,I5,I5735,BLR,Bengaluru,JAI,Jaipur,Thursday,15:20,15:20,0,17:28,17:23,-5,0,1457,108
2025-04-28,SpiceJet,SG,SG997,BOM,Mumbai,LKO,Lucknow,Monday,07:10,07:25,15,09:06,09:16,10,0,1300,96
2025-04-28,IndiGo,6E,6E187,GOI,Goa,JAI,Jaipur,Monday,06:00,06:35,35,06:58,07:33,35,0,514,38
2025-04-28,AirAsia India,I5,I5795,HYD,Hyderabad,JAI,Jaipur,Monday,08:10,08:12,2,09:32,09:44,12,0,832,62
2025-04-28,Vistara,UK,UK450,MAA,Chennai,HYD,Hyderabad,Monday,09:15,09:17,2,10:14,10:31,17,0,520,39
2025-04-29,Air India,AI,AI229,LKO,Lucknow,MAA,Chennai,Tuesday,13:50,13:50,0,15:49,15:44,-5,0,1339,99
2025-04-30,Akasa Air,QP,QP209,BOM,Mumbai,DEL,Delhi,Wednesday,17:50,17:55,5,19:35,19:40,5,0,1150,85
2025-05-01,Air India,AI,AI865,GOI,Goa,JAI,Jaipur,Thursday,18:10,18:10,0,19:37,19:37,0,0,901,67
2025-05-02,SpiceJet,SG,SG199,MAA,Chennai,HYD,Hyderabad,Friday,15:30,15:30,0,16:29,16:44,15,0,520,39
2025-05-07,Air India,AI,AI129,HYD,Hyderabad,COK,Kochi,Wednesday,16:30,16:55,25,18:28,19:03,35,0,1320,98
2025-05-07,Akasa Air,QP,QP310,PNQ,Pune,BOM,Mumbai,Wednesday,09:10,11:10,120,09:41,11:56,135,0,150,11
2025-05-08,Akasa Air,QP,QP290,JAI,Jaipur,MAA,Chennai,Thursday,19:40,20:15,35,21:49,22:29,40,0,1477,109
2025-05-11,AirAsia India,I5,I5153,AMD,Ahmedabad,LKO,Lucknow,Sunday,06:00,08:00,120,08:26,10:41,135,0,1706,126
2025-05-13,Go First,G8,G8672,LKO,Lucknow,COK,Kochi,Tuesday,09:50,10:08,18,11:32,11:50,18,0,1103,82
2025-05-16,Air India,AI,AI739,BOM,Mumbai,LKO,Lucknow,Friday,07:20,08:15,55,09:16,10:11,55,0,1300,96
2025-05-28,SpiceJet,SG,SG953,GOI,Goa,DEL,Delhi,Wednesday,08:15,09:25,70,10:26,11:51,85,0,1500,111
2025-05-29,SpiceJet,SG,SG556,COK,Kochi,HYD,Hyderabad,Thursday,18:15,,,19:35,,,1,812,60
2025-05-29,IndiGo,6E,6E825,JAI,Jaipur,AMD,Ahmedabad,Thursday,18:30,18:38,8,21:09,21:07,-2,0,1871,139
2025-06-02,Go First,G8,G8302,GOI,Goa,BOM,Mumbai,Monday,17:20,17:28,8,18:12,18:10,-2,0,430,32
2025-06-03,SpiceJet,SG,SG354,AMD,Ahmedabad,CCU,Kolkata,Tuesday,08:20,08:50,30,10:22,10:52,30,0,1375,102
2025-06-06,Vistara,UK,UK764,COK,Kochi,JAI,Jaipur,Friday,16:30,16:35,5,18:11,18:26,15,0,1097,81
2025-06-11,AirAsia India,I5,I5711,BOM,Mumbai,BLR,Bengaluru,Wednesday,06:40,08:10,90,08:02,09:22,80,0,840,62
2025-06-13,Vistara,UK,UK228,GOI,Goa,LKO,Lucknow,Friday,18:00,18:10,10,19:42,19:52,10,0,1103,82
2025-06-14,SpiceJet,SG,SG887,DEL,Delhi,CCU,Kolkata,Saturday,20:50,21:02,12,22:46,22:48,2,0,1300,96
2025-06-15,Akasa Air,QP,QP997,BOM,Mumbai,PNQ,Pune,Sunday,12:20,12:45,25,12:51,13:31,40,0,150,11
2025-06-15,IndiGo,6E,6E826,DEL,Delhi,AMD,Ahmedabad,Sunday,06:15,06:17,2,07:33,07:25,-8,0,780,58
2025-06-15,Vistara,UK,UK323,DEL,Delhi,COK,Kochi,Sunday,12:15,12:20,5,15:13,15:33,20,0,2130,158
2025-06-15,Go First,G8,G8396,DEL,Delhi,COK,Kochi,Sunday,17:10,17:18,8,20:08,20:16,8,0,2130,158
2025-06-15,AirAsia India,I5,I5310,DEL,Delhi,GOI,Goa,Sunday,18:40,19:50,70,20:51,22:16,85,0,1500,111
2025-06-15,Air India,AI,AI446,DEL,Delhi,PNQ,Pune,Sunday,18:50,18:45,-5,20:37,20:32,-5,0,1180,87
2025-06-15,SpiceJet,SG,SG713,DEL,Delhi,CCU,Kolkata,Sunday,21:20,21:22,2,23:16,23:28,12,0,1300,96
2025-06-16,Akasa Air,QP,QP727,BOM,Mumbai,AMD,Ahmedabad,Monday,18:20,18:28,8,19:13,19:26,13,0,440,33
2025-06-18,AirAsia India,I5,I5715,HYD,Hyderabad,PNQ,Pune,Wednesday,10:45,10:55,10,12:38,12:48,10,0,1261,93
2025-06-20,Akasa Air,QP,QP877,HYD,Hyderabad,AMD,Ahmedabad,Friday,17:45,18:10,25,19:04,19:19,15,0,799,59
2025-06-26,SpiceJet,SG,SG748,BLR,Bengaluru,COK,Kochi,Thursday,19:00,19:00,0,19:47,19:57,10,0,360,27
2025-07-06,Air India,AI,AI571,BOM,Mumbai,PNQ,Pune,Sunday,08:15,09:25,70,08:46,10:06,80,0,150,11
2025-07-07,AirAsia India,I5,I5125,BOM,Mumbai,COK,Kochi,Monday,08:00,08:08,8,09:38,09:46,8,0,1050,78
2025-07-07,Akasa Air,QP,QP951,BOM,Mumbai,DEL,Delhi,Monday,17:10,18:20,70,18:55,20:00,65,0,1150,85
2025-07-07,AirAsia India,I5,I5499,BOM,Mumbai,BLR,Bengaluru,Monday,19:10,19:15,5,20:32,20:37,5,0,840,62
2025-07-07,Akasa Air,QP,QP509,BOM,Mumbai,MAA,Chennai,Monday,21:50,21:50,0,23:26,23:41,15,0,1030,76
2025-07-07,IndiGo,6E,6E700,DEL,Delhi,HYD,Hyderabad,Monday,06:45,07:15,30,08:38,09:03,25,0,1260,93
2025-07-12,Akasa Air,QP,QP135,PNQ,Pune,DEL,Delhi,Saturday,17:10,17:05,-5,18:57,18:47,-10,0,1180,87
2025-07-13,AirAsia India,I5,I5768,DEL,Delhi,COK,Kochi,Sunday,08:00,08:12,12,10:58,11:20,22,0,2130,158
2025-07-15,Air India,AI,AI178,AMD,Ahmedabad,LKO,Lucknow,Tuesday,17:30,17:42,12,19:48,20:10,22,0,1595,118
2025-07-18,Go First,G8,G8801,HYD,Hyderabad,PNQ,Pune,Friday,15:20,15:20,0,17:47,17:37,-10,0,1710,127
2025-07-19,Go First,G8,G8882,BLR,Bengaluru,JAI,Jaipur,Saturday,13:50,15:20,90,16:10,17:35,85,0,1617,120
2025-07-20,Akasa Air,QP,QP870,COK,Kochi,HYD,Hyderabad,Sunday,08:20,08:15,-5,10:15,10:15,0,0,1286,95
2025-07-22,Go First,G8,G8352,BOM,Mumbai,BLR,Bengaluru,Tuesday,09:00,08:55,-5,10:22,10:32,10,0,840,62
2025-07-22,Air India,AI,AI126,BOM,Mumbai,MAA,Chennai,Tuesday,11:30,11:30,0,13:06,13:06,0,0,1030,76
2025-07-22,Vistara,UK,UK249,BOM,Mumbai,GOI,Goa,Tuesday,14:30,14:52,22,15:22,15:34,12,0,430,32
2025-07-22,Vistara,UK,UK356,BOM,Mumbai,LKO,Lucknow,Tuesday,16:50,17:02,12,18:46,19:03,17,0,1300,96
2025-07-22,SpiceJet,SG,SG751,DEL,Delhi,AMD,Ahmedabad,Tuesday,11:40,11:40,0,12:58,13:13,15,0,780,58
2025-07-22,Akasa Air,QP,QP244,DEL,Delhi,HYD,Hyderabad,Tuesday,17:10,17:12,2,19:03,19:10,7,0,1260,93
2025-07-22,Go First,G8,G8894,DEL,Delhi,MAA,Chennai,Tuesday,17:40,17:40,0,20:10,20:25,15,0,1760,130
2025-07-23,Vistara,UK,UK222,BOM,Mumbai,GOI,Goa,Wednesday,07:30,07:30,0,08:22,08:12,-10,0,430,32
2025-07-27,Air India,AI,AI252,JAI,Jaipur,MAA,Chennai,Sunday,18:50,18:47,-3,20:15,20:02,-13,0,871,65
2025-07-31,Air India,AI,AI579,BLR,Bengaluru,CCU,Kolkata,Thursday,12:15,12:23,8,14:31,14:54,23,0,1560,116
2025-08-01,Go First,G8,G8932,JAI,Jaipur,LKO,Lucknow,Friday,20:15,20:12,-3,21:43,21:50,7,0,914,68
2025-08-03,Vistara,UK,UK439,BOM,Mumbai,BLR,Bengaluru,Sunday,06:40,06:45,5,08:02,08:02,0,0,840,62
2025-08-03,Air India,AI,AI679,BOM,Mumbai,DEL,Delhi,Sunday,07:20,07:32,12,09:05,09:22,17,0,1150,85
2025-08-03,AirAsia India,I5,I5510,DEL,Delhi,MAA,Chennai,Sunday,10:20,10:22,2,12:50,12:42,-8,0,1760,130
2025-08-03,Go First,G8,G8599,DEL,Delhi,BLR,Bengaluru,Sunday,17:50,17:47,-3,20:19,20:06,-13,0,1740,129
2025-08-03,SpiceJet,SG,SG586,DEL,Delhi,MAA,Chennai,Sunday,20:00,20:10,10,22:30,22:40,10,0,1760,130
2025-08-07,Air India,AI,AI104,JAI,Jaipur,DEL,Delhi,Thursday,06:10,06:07,-3,06:48,07:00,12,0,240,18
2025-08-07,SpiceJet,SG,SG795,JAI,Jaipur,MAA,Chennai,Thursday,08:50,09:20,30,10:27,10:52,25,0,1033,77
2025-08-08,Akasa Air,QP,QP851,COK,Kochi,JAI,Jaipur,Friday,18:15,18:25,10,20:23,20:48,25,0,1464,108
2025-08-11,Go First,G8,G8715,BOM,Mumbai,MAA,Chennai,Monday,06:00,06:08,8,07:36,07:44,8,0,1030,76
2025-08-11,Vistara,UK,UK246,BOM,Mumbai,MAA,Chennai,Monday,06:50,06:50,0,08:26,08:16,-10,0,1030,76
2025-08-11,Akasa Air,QP,QP557,BOM,Mumbai,HYD,Hyderabad,Monday,07:45,07:42,-3,08:51,08:48,-3,0,620,46
2025-08-11,Air India,AI,AI914,BOM,Mumbai,CCU,Kolkata,Monday,08:20,08:55,35,10:43,11:33,50,0,1660,123
2025-08-11,SpiceJet,SG,SG629,BOM,Mumbai,AMD,Ahmedabad,Monday,08:20,09:15,55,09:13,10:23,70,0,440,33
2025-08-11,Vistara,UK,UK868,DEL,Delhi,CCU,Kolkata,Monday,06:00,05:57,-3,07:56,08:03,7,0,1300,96
2025-08-11,SpiceJet,SG,SG619,DEL,Delhi,COK,Kochi,Monday,13:15,13:25,10,16:13,16:18,5,0,2130,158
2025-08-11,Akasa Air,QP,QP527,DEL,Delhi,LKO,Lucknow,Monday,17:45,17:53,8,18:38,19:01,23,0,440,33
2025-08-11,Go First,G8,G8607,DEL,Delhi,BOM,Mumbai,Monday,18:50,19:08,18,20:35,20:53,18,0,1150,85
2025-08-14,Air India,AI,AI876,MAA,Chennai,GOI,Goa,Thursday,21:10,21:12,2,22:31,22:33,2,0,826,61
2025-08-17,IndiGo,6E,6E103,BLR,Bengaluru,MAA,Chennai,Sunday,11:40,11:50,10,12:21,12:26,5,0,290,21
2025-08-17,IndiGo,6E,6E297,HYD,Hyderabad,CCU,Kolkata,Sunday,13:40,13:48,8,15:27,15:45,18,0,1180,87
2025-08-20,Akasa Air,QP,QP668,JAI,Jaipur,CCU,Kolkata,Wednesday,18:10,19:20,70,20:28,21:53,85,0,1589,118
2025-08-22,Air India,AI,AI654,BOM,Mumbai,GOI,Goa,Friday,09:50,09:52,2,10:42,10:44,2,0,430,32
2025-08-29,IndiGo,6E,6E821,BOM,Mumbai,CCU,Kolkata,Friday,06:20,06:17,-3,08:43,08:55,12,0,1660,123
2025-09-01,AirAsia India,I5,I5351,HYD,Hyderabad,COK,Kochi,Monday,17:10,17:15,5,19:32,19:37,5,0,1644,122
2025-09-05,SpiceJet,SG,SG596,BOM,Mumbai,COK,Kochi,Friday,08:00,08:40,40,09:38,10:13,35,0,1050,78
2025-09-05,Air India,AI,AI739,CCU,Kolkata,HYD,Hyderabad,Friday,20:00,20:02,2,21:47,21:59,12,0,1180,87
2025-09-06,SpiceJet,SG,SG916,COK,Kochi,LKO,Lucknow,Saturday,15:20,15:20,0,16:49,16:54,5,0,933,69
2025-09-08,Go First,G8,G8576,DEL,Delhi,LKO,Lucknow,Monday,10:50,10:58,8,11:43,12:06,23,0,440,33
2025-09-10,SpiceJet,SG,SG670,BLR,Bengaluru,AMD,Ahmedabad,Wednesday,06:50,06:50,0,09:18,09:18,0,0,1734,128
2025-09-17,Vistara,UK,UK881,DEL,Delhi,AMD,Ahmedabad,Wednesday,07:40,07:40,0,08:58,08:58,0,0,780,58
2025-09-17,Go First,G8,G8797,DEL,Delhi,LKO,Lucknow,Wednesday,10:50,11:45,55,11:43,12:28,45,0,440,33
2025-09-17,Vistara,UK,UK336,DEL,Delhi,GOI,Goa,Wednesday,21:10,21:05,-5,23:21,23:06,-15,0,1500,111
2025-09-20,Vistara,UK,UK158,BOM,Mumbai,BLR,Bengaluru,Saturday,21:20,21:20,0,22:42,22:42,0,0,840,62
2025-09-20,IndiGo,6E,6E826,DEL,Delhi,MAA,Chennai,Saturday,21:50,,,00:20,,,1,1760,130
2025-09-21,Air India,AI,AI366,GOI,Goa,CCU,Kolkata,Sunday,19:15,19:40,25,21:43,22:03,20,0,1732,128
2025-09-22,SpiceJet,SG,SG530,JAI,Jaipur,GOI,Goa,Monday,18:15,18:25,10,20:15,20:15,0,0,1345,100
2025-09-23,AirAsia India,I5,I5475,LKO,Lucknow,MAA,Chennai,Tuesday,08:40,08:50,10,10:44,11:09,25,0,1409,104
2025-09-23,Go First,G8,G8930,LKO,Lucknow,DEL,Delhi,Tuesday,14:40,,,15:33,,,1,440,33
2025-09-27,Go First,G8,G8167,BOM,Mumbai,JAI,Jaipur,Saturday,17:30,17:30,0,18:54,19:04,10,0,870,64
2025-09-27,Akasa Air,QP,QP667,CCU,Kolkata,AMD,Ahmedabad,Saturday,09:30,09:35,5,10:50,11:00,10,0,815,60
